Thời gian,Tên người dùng,UID,Nội dung comment
16:56:49,Unknown,Unknown,"Ashik Ahmed"
16:56:49,Unknown,Unknown,"Ashik Ahmed"
16:56:49,Unknown,61579419183378,"Abid Hossain"
16:56:49,Unknown,61579419183378,"Abid Hossain"
16:56:49,Unknown,Unknown,"Ashik Ahmed"
16:56:49,Unknown,Unknown,"Ashik Ahmed"
16:56:49,Unknown,Unknown,"Md. Foysal 5555555 5555555"
16:56:49,Unknown,Unknown,"Md. Foysal 5555555 5555555"
16:56:49,Unknown,61579419183378,"Abid Hossain"
16:56:49,Unknown,61579419183378,"Abid Hossain"
16:56:49,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:49,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:49,Unknown,Unknown,"Md. Foysal 5555555 5555555"
16:56:49,Unknown,Unknown,"Md. Foysal 5555555 5555555"
16:56:49,Unknown,61582365981779,"Rafsan Siam"
16:56:49,Unknown,61582365981779,"Rafsan Siam"
16:56:49,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:49,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:49,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:49,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:49,Unknown,61582365981779,"Rafsan Siam"
16:56:49,Unknown,61582365981779,"Rafsan Siam"
16:56:50,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:50,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:50,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:50,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:50,Unknown,61584555504837,"Amrito Sarker"
16:56:50,Unknown,61584555504837,"Amrito Sarker"
16:56:50,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:50,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:50,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:50,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:50,Unknown,61584555504837,"Amrito Sarker"
16:56:50,Unknown,Unknown,"Md. Foysal 5555555 5555555"
16:56:50,Unknown,61584555504837,"Amrito Sarker"
16:56:50,Unknown,Unknown,"Md. Foysal 5555555 5555555"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:50,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:50,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:50,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:50,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:50,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,61582365981779,"Rafsan Siam"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,61582365981779,"Rafsan Siam"
16:56:50,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:50,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:50,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:50,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:50,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:50,Unknown,Unknown,"Jesmin Akter"
16:56:50,Unknown,Unknown,"Jesmin Akter"
16:56:50,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:50,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:50,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:50,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:50,Unknown,Unknown,"Arshad Mia"
16:56:50,Unknown,Unknown,"Arshad Mia"
16:56:50,Unknown,Unknown,"Jesmin Akter"
16:56:50,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:50,Unknown,61584555504837,"Amrito Sarker"
16:56:50,Unknown,Unknown,"Jesmin Akter"
16:56:50,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:50,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:50,Unknown,Unknown,"Arshad Mia"
16:56:50,Unknown,61584555504837,"Amrito Sarker"
16:56:50,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:50,Unknown,Unknown,"Arshad Mia"
16:56:50,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:50,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:50,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:50,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:50,Unknown,61579419183378,"Abid Hossain"
16:56:50,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:50,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:51,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:51,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:51,Unknown,61579419183378,"Abid Hossain"
16:56:51,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:51,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:51,Unknown,61579419183378,"Abid Hossain"
16:56:51,Unknown,61579419183378,"Abid Hossain"
16:56:51,Unknown,61579419183378,"Abid Hossain"
16:56:51,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:51,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:51,Unknown,Unknown,"Jesmin Akter"
16:56:51,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:51,Unknown,61578604828987,"MRAKI 55555555555555 55555555555555"
16:56:51,Unknown,Unknown,"Jesmin Akter"
16:56:51,Unknown,100084542693535,"Rdx Salbin"
16:56:51,Unknown,100084542693535,"Rdx Salbin"
16:56:51,Unknown,61579419183378,"Abid Hossain"
16:56:51,Unknown,Unknown,"Arshad Mia"
16:56:51,Unknown,61579419183378,"Abid Hossain"
16:56:51,Unknown,61582365981779,"Rafsan Siam"
16:56:51,Unknown,Unknown,"Arshad Mia"
16:56:51,Unknown,61582365981779,"Rafsan Siam"
16:56:51,Unknown,61582365981779,"Rafsan Siam"
16:56:51,Unknown,100084542693535,"Rdx Salbin"
16:56:51,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:51,Unknown,100084542693535,"Rdx Salbin"
16:56:51,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:51,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:51,Unknown,100084542693535,"Rdx Salbin"
16:56:51,Unknown,100084542693535,"Rdx Salbin"
16:56:51,Unknown,61582365981779,"Rafsan Siam"
16:56:52,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:52,Unknown,61582365981779,"Rafsan Siam"
16:56:52,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:52,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,100084542693535,"Rdx Salbin"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:52,Unknown,100084542693535,"Rdx Salbin"
16:56:52,Unknown,Unknown,"Nx Maruf Yt"
16:56:52,Unknown,Unknown,"Nx Maruf Yt"
16:56:52,Unknown,61584555504837,"Amrito Sarker"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,Unknown,"Nx Maruf Yt"
16:56:52,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:52,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:52,Unknown,Unknown,"Nx Maruf Yt"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:52,Unknown,100084542693535,"Rdx Salbin"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:52,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:52,Unknown,100084542693535,"Rdx Salbin"
16:56:52,Unknown,Unknown,"Jibon Mia 2875261 2875261"
16:56:52,Unknown,61582365981779,"Rafsan Siam"
16:56:52,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:52,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:52,Unknown,61582365981779,"Rafsan Siam"
16:56:52,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:52,Unknown,100084542693535,"Rdx Salbin"
16:56:52,Unknown,Unknown,"Jesmin Akter"
16:56:52,Unknown,61584555504837,"Amrito Sarker"
16:56:52,Unknown,100084542693535,"Rdx Salbin"
16:56:52,Unknown,61584555504837,"Amrito Sarker"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,Unknown,"Arshad Mia"
16:56:52,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:52,Unknown,Unknown,"Ali Hossen"
16:56:52,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:52,Unknown,Unknown,"Nx Maruf Yt"
16:56:52,Unknown,Unknown,"Nx Maruf Yt"
16:56:52,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:52,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,Unknown,"Ali Hossen"
16:56:53,Unknown,Unknown,"Ali Hossen"
16:56:53,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:53,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:53,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:53,Unknown,100084542693535,"Rdx Salbin"
16:56:53,Unknown,100084542693535,"Rdx Salbin"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:53,Unknown,Unknown,"Md. Foysal 55555 55555"
16:56:53,Unknown,100069412065629,"Azim Laskar"
16:56:53,Unknown,Unknown,"Jesmin Akter"
16:56:53,Unknown,100069412065629,"Azim Laskar"
16:56:53,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:53,Unknown,Unknown,"Jesmin Akter"
16:56:53,Unknown,Unknown,"Arshad Mia"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,Unknown,"Arshad Mia"
16:56:53,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:53,Unknown,100084542693535,"Rdx Salbin"
16:56:53,Unknown,Unknown,"ᏕᏦ ᏕᏂᏗᏦᎥᏰ"
16:56:53,Unknown,Unknown,"Nx Maruf Yt 4444444444 4444444444"
16:56:53,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:53,Unknown,61582365981779,"Rafsan Siam"
16:56:53,Unknown,61555640081765,"Koster AHSAN 2 Time cod Time cod"
16:56:53,Unknown,61584555504837,"Amrito Sarker"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,100084542693535,"Rdx Salbin"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,100069412065629,"Azim Laskar Tgf Tgf"
16:56:53,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:53,Unknown,Unknown,"Ali Hossen"
16:56:53,Unknown,61577791258601,"Chion Das 55555555555555555255555555555555555555555555555555555555555555555555 55555555555555555255555555555555555555555555555555555555555555555555"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,Unknown,"Nx Maruf Yt"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,61579419183378,"Abid Hossain"
16:56:53,Unknown,Unknown,"Raja Islam 555555 555555"
16:56:53,Unknown,Unknown,"Ali Hossen"
16:56:53,Unknown,100084542693535,"Rdx Salbin"
16:56:53,Unknown,100084542693535,"Rdx Salbin"
16:56:53,Unknown,Unknown,"Md. Foysal 55555 55555"
